teamAbbr,teamRslt,opptAbbr,Season,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFG%,team2PA,team2P%,team3PA,team3P%,teamFTA,teamFT%,teamORB,teamDRB,teamTREB%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLKR,teamPPS,teamFIC,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamAST/TO,teamSTL/TO,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFG%,oppt2PA,oppt2P%,oppt3PA,oppt3P%,opptFTA,opptFT%,opptORB,opptDRB,opptTREB%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLKR,opptPPS,opptFIC,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO
3,Loss,8,3,1.3333333333333333,106.0,25.333333333333332,16.333333333333332,7.333333333333333,6.666666666666667,22.0,85.33333333333333,0.4642,61.0,0.4889666666666666,24.333333333333332,0.3925666666666667,22.666666666666668,0.7581666666666665,11.333333333333334,33.0,49.436366666666665,0.5585333333333332,0.5216666666666666,26.21173333333333,70.164,14.708800000000002,7.529233333333333,11.515166666666666,1.2506,81.58333333333333,108.26543333333332,106.13143333333333,2.133999999999999,0.4357666666666667,18.432366666666667,1.5922,45.90963333333334,1.3333333333333333,114.0,29.666666666666668,15.333333333333334,6.666666666666667,8.333333333333334,22.0,88.33333333333333,0.46593333333333337,61.333333333333336,0.5062333333333334,27.0,0.3748666666666667,27.666666666666668,0.8055333333333333,13.333333333333334,41.0,57.7189,0.5683333333333334,0.523,24.771066666666666,75.22893333333333,13.116433333333333,6.628399999999999,13.704866666666668,1.2968666666666668,99.79166666666667,113.71960000000001,90.66813333333334,23.05146666666667,0.45446666666666663,20.430333333333333,2.0229999999999997,43.492066666666666
0,Loss,26,3,1.3333333333333333,101.33333333333333,21.666666666666668,21.0,8.333333333333334,7.333333333333333,20.333333333333332,80.0,0.4389,55.333333333333336,0.4660333333333333,24.666666666666668,0.3804666666666667,30.666666666666668,0.7336,11.0,32.666666666666664,48.73609999999999,0.546,0.4972999999999999,24.046833333333336,73.1746,18.3206,8.1535,13.136033333333332,1.2988333333333333,71.5,99.63693333333333,103.80863333333333,-4.1717,0.38809999999999995,15.890733333333335,1.0310666666666666,39.8148,0.6666666666666666,97.33333333333333,24.0,15.0,11.0,6.0,19.666666666666668,80.33333333333333,0.4572333333333334,56.333333333333336,0.5103333333333334,24.0,0.33590000000000003,20.333333333333332,0.7881333333333335,7.0,32.666666666666664,43.3381,0.5457333333333333,0.5071333333333333,17.64163333333333,82.35836666666667,14.392866666666668,11.6263,10.819299999999998,1.2146333333333335,77.125,102.26206666666667,100.36936666666666,1.8927000000000003,0.41546666666666665,18.706,1.5999999999999999,73.33333333333333
29,Loss,12,3,1.6666666666666667,84.33333333333333,20.666666666666668,15.333333333333334,6.0,4.333333333333333,19.333333333333332,79.66666666666667,0.4391,63.0,0.48550000000000004,16.666666666666668,0.2604666666666667,15.333333333333334,0.6564,8.0,31.333333333333332,47.59866666666667,0.48746666666666666,0.4663333333333333,19.397966666666665,76.79090000000001,14.994099999999998,6.483066666666666,6.944399999999999,1.0580333333333334,56.333333333333336,91.87240000000001,110.12533333333333,-18.252933333333335,0.40376666666666666,16.812700000000003,1.3821666666666668,37.456133333333334,1.3333333333333333,100.33333333333333,24.666666666666668,14.666666666666666,7.333333333333333,3.3333333333333335,26.0,85.0,0.42110000000000003,63.333333333333336,0.44470000000000004,21.666666666666668,0.3798333333333333,25.333333333333332,0.8178666666666666,11.0,27.666666666666668,45.793533333333336,0.5224666666666666,0.4681333333333333,27.124066666666664,72.87593333333334,13.125133333333332,7.620133333333334,5.193566666666666,1.1839666666666666,66.5,104.53410000000001,113.50906666666667,-8.974966666666667,0.401,18.110566666666667,1.8023,51.71296666666667
19,Loss,14,3,1.75,101.25,16.5,15.75,9.5,4.25,23.25,82.25,0.414175,62.25,0.44157500000000005,20.0,0.322925,32.25,0.8301999999999999,11.5,35.75,53.6492,0.5255,0.45377500000000004,26.6709,79.17015,13.933525000000001,9.6639,6.78495,1.2343250000000001,68.65625,103.608275,98.534675,5.0736,0.39305,12.674025,1.067625,60.833325,1.3333333333333333,101.66666666666667,20.0,15.666666666666666,8.666666666666666,7.0,20.666666666666668,81.66666666666667,0.4745,58.333333333333336,0.5124666666666666,23.333333333333332,0.3959000000000001,19.333333333333332,0.8006000000000001,8.666666666666666,37.333333333333336,52.11536666666667,0.5662999999999999,0.5289666666666667,18.108433333333334,81.89156666666668,14.7382,8.939766666666666,12.179066666666666,1.2539666666666667,79.5,105.81723333333333,97.50893333333333,8.308300000000001,0.4361,15.909033333333332,1.3511333333333333,54.8088
28,Loss,4,3,1.5,102.25,24.25,16.0,8.5,6.75,21.25,88.5,0.45775,70.0,0.481175,18.5,0.37617500000000004,18.0,0.813175,10.25,34.0,49.579474999999995,0.530375,0.49585,23.751525,73.92047500000001,14.202225,8.547075,9.758825,1.157225,77.75,102.68365,100.8514,1.8322500000000004,0.429975,17.724125,1.5412,55.21935,1.5,92.25,18.0,17.5,7.25,4.25,19.0,79.75,0.42725,58.5,0.4619,21.25,0.3291,24.5,0.692625,11.75,30.25,48.310825,0.5099750000000001,0.47245000000000004,26.8642,73.1358,16.314725,7.721224999999999,7.675924999999999,1.1575250000000001,60.1875,98.55777499999999,105.14565,-6.587875,0.398175,14.141950000000001,1.1506,43.27380000000001
13,Win,23,3,1.6666666666666667,104.66666666666667,21.333333333333332,17.666666666666668,7.333333333333333,3.6666666666666665,22.333333333333332,84.0,0.4774,57.333333333333336,0.4985,26.666666666666668,0.42829999999999996,18.0,0.6519333333333334,5.666666666666667,35.0,43.43236666666667,0.5720999999999999,0.5471,13.374433333333334,68.82453333333332,16.0853,7.195566666666667,6.301066666666666,1.2533666666666667,70.33333333333333,103.20713333333333,107.8439,-4.636766666666666,0.41673333333333334,16.29393333333333,1.3,41.15383333333333,2.0,89.33333333333333,20.333333333333332,16.666666666666668,5.666666666666667,6.666666666666667,20.0,76.0,0.3995666666666666,52.0,0.43696666666666667,24.0,0.3416666666666666,28.666666666666668,0.6690999999999999,9.0,29.0,45.89486666666667,0.5013,0.45206666666666667,23.717633333333335,76.28236666666668,15.946433333333331,6.007366666666666,13.296666666666667,1.172,58.333333333333336,94.98243333333333,110.67493333333333,-15.6925,0.3642666666666667,16.047133333333335,1.2575666666666667,35.4489
25,Win,26,3,1.3333333333333333,103.0,22.666666666666668,13.666666666666666,6.0,5.666666666666667,24.333333333333332,83.33333333333333,0.4288666666666667,67.66666666666667,0.4635,15.666666666666666,0.2897666666666667,35.0,0.7574333333333333,9.0,39.666666666666664,48.679,0.5234333333333333,0.45576666666666665,19.094933333333334,73.80596666666666,12.160066666666665,5.8608,8.3664,1.2499666666666667,74.625,101.20463333333333,92.29016666666666,8.914466666666668,0.40503333333333336,16.713533333333334,1.9111,43.24073333333334,0.75,101.5,27.25,15.0,11.5,5.5,18.5,83.25,0.45977500000000004,57.0,0.5098750000000001,26.25,0.3504,19.0,0.8411000000000001,7.75,31.75,44.691075,0.553825,0.5148499999999999,19.641475,80.358525,14.0957,11.93195,9.809399999999998,1.2207500000000002,83.5,104.865375,99.739425,5.12595,0.422425,20.1716,1.816675,76.666675
7,Win,6,3,1.25,98.5,21.5,17.0,8.0,6.25,16.75,84.0,0.467025,66.75,0.509,17.25,0.3056,18.75,0.793025,8.5,36.75,51.29945,0.5342250000000001,0.498425,21.5996,75.96435,15.516575000000001,8.136225,9.151074999999999,1.1741249999999999,74.90625,101.038925,98.497175,2.5417500000000004,0.42455,16.4622,1.323075,50.320499999999996,1.6,105.8,23.8,16.6,9.0,3.4,21.8,89.8,0.44197999999999993,67.2,0.47316,22.6,0.34364000000000006,26.6,0.6837,12.6,33.0,50.28548,0.51874,0.4856599999999999,27.473060000000004,72.52694,14.113660000000001,8.8655,4.8051200000000005,1.17586,74.525,103.25765999999999,107.2195,-3.9618399999999996,0.42382,16.6848,1.46396,55.73736
17,Loss,8,3,1.6666666666666667,108.66666666666667,18.0,13.333333333333334,8.666666666666666,3.6666666666666665,17.333333333333332,88.66666666666667,0.4583333333333333,61.666666666666664,0.4921,27.0,0.38136666666666663,28.0,0.6503333333333333,15.666666666666666,35.0,54.540666666666674,0.5392,0.5163000000000001,30.3332,80.8557,11.738666666666667,8.890966666666666,5.940866666666667,1.2352,81.91666666666667,111.74503333333332,99.03159999999998,12.713433333333333,0.4670666666666667,13.490266666666665,1.4162,75.9259,1.5,115.25,32.25,16.5,7.5,7.75,22.0,89.5,0.4731,60.0,0.50915,29.5,0.396025,25.25,0.74305,13.25,40.75,57.09125,0.57365,0.53875,24.710375,75.289625,13.9723,7.298299999999999,12.957225000000001,1.29255,102.46875,112.98102500000002,92.201925,20.779100000000003,0.45585,21.537025,2.0172499999999998,45.11905
9,Loss,18,3,1.6,91.8,21.2,13.4,7.4,5.0,23.0,85.8,0.41258,66.2,0.45544,19.6,0.27674,21.8,0.7872,11.0,32.2,48.47516,0.48624,0.44356,23.89284,75.85896,12.28938,7.75138,7.687340000000001,1.08812,63.125,97.19283999999999,108.66217999999999,-11.46934,0.39984,16.297140000000002,1.62058,55.78714,2.0,106.25,23.75,12.0,5.5,6.75,20.0,83.25,0.469625,59.0,0.5579999999999999,24.25,0.242875,31.75,0.7128500000000001,7.25,38.25,46.82475,0.5471,0.505575,16.267075000000002,83.732925,10.94875,5.5199,11.55165,1.283125,81.84375,106.16999999999999,100.455025,5.714974999999999,0.443175,17.78315,2.082625,50.389925000000005
15,Loss,22,3,1.0,94.75,18.0,12.0,8.25,5.5,24.25,84.0,0.438575,68.0,0.44720000000000004,16.0,0.390875,20.25,0.7209,11.0,33.75,52.617149999999995,0.51025,0.47655000000000003,25.4008,79.855475,11.407599999999999,9.066374999999999,8.137225,1.129175,68.09375,104.72395,89.25575,15.4682,0.4323,14.61865,1.649575,72.33735,2.0,101.75,25.0,12.75,5.75,2.5,17.75,85.0,0.45507499999999995,59.5,0.519575,25.5,0.30429999999999996,22.5,0.73065,11.25,36.25,53.902625,0.5365,0.5005999999999999,23.670625,76.329375,11.79855,6.132175,4.227125,1.1967,79.625,109.13669999999999,101.09287499999999,8.043825,0.44782500000000003,18.817775,2.0235,44.441575
10,Loss,14,3,2.3333333333333335,104.33333333333333,17.666666666666668,15.0,7.666666666666667,6.0,22.0,87.0,0.4222666666666666,59.0,0.47373333333333334,28.0,0.3203666666666667,30.0,0.7205,8.333333333333334,32.666666666666664,44.411766666666665,0.5216999999999999,0.47376666666666667,17.467466666666667,71.04856666666666,12.982933333333333,7.507366666666667,10.583433333333334,1.2082666666666666,66.0,101.7597,106.68303333333334,-4.923333333333335,0.3907,13.239099999999999,1.2758666666666667,54.36403333333334,1.5,100.25,19.5,14.5,8.5,7.25,20.5,82.0,0.4613,59.5,0.49149999999999994,22.5,0.3969250000000001,20.75,0.7804500000000001,9.75,36.75,53.040025,0.552375,0.5142,20.35215,79.64785,13.6727,8.94005,12.3089,1.229625,78.78125,106.185575,94.3663,11.819275000000001,0.4351,15.5903,1.42245,59.288425000000004
2,Loss,20,3,1.3333333333333333,100.66666666666667,24.666666666666668,10.666666666666666,5.333333333333333,3.0,24.333333333333332,89.66666666666667,0.43039999999999995,62.666666666666664,0.47013333333333335,27.0,0.3476333333333333,20.666666666666668,0.7424666666666667,9.333333333333334,41.333333333333336,50.765633333333334,0.5116666666666667,0.4814,18.606633333333335,81.23686666666667,9.707766666666666,5.3444666666666665,4.8967,1.1323333333333332,76.16666666666667,101.10949999999998,97.77086666666666,3.338633333333334,0.4229333333333334,18.43013333333333,2.4126,54.57456666666667,3.0,109.66666666666667,25.0,14.333333333333334,8.333333333333334,6.666666666666667,20.333333333333332,91.33333333333333,0.4385333333333334,62.0,0.48340000000000005,29.333333333333332,0.3434,24.0,0.8215333333333333,10.666666666666666,31.333333333333332,48.398066666666665,0.5394333333333333,0.4939,24.607466666666667,75.39253333333333,12.3155,8.1932,11.585966666666666,1.2044666666666666,81.83333333333333,107.03923333333334,116.39850000000001,-9.359266666666668,0.42063333333333336,17.77606666666667,1.7752,59.9817
10,Loss,28,3,2.25,100.25,18.5,15.75,7.5,6.25,21.75,84.5,0.4271,58.0,0.45985,26.5,0.365275,25.5,0.727875,7.5,32.25,44.1522,0.524975,0.483575,16.478975,70.13425,14.224625,7.52925,11.119399999999999,1.191925,64.625,100.18957499999999,107.408275,-7.2187,0.387475,14.258149999999999,1.248575,50.495250000000006,1.3333333333333333,105.0,22.333333333333332,15.666666666666666,7.666666666666667,6.666666666666667,26.0,94.33333333333333,0.414,66.33333333333333,0.4578,28.0,0.30529999999999996,24.0,0.7429666666666667,12.333333333333334,36.0,48.36546666666667,0.49933333333333335,0.4606666666666667,24.642833333333332,75.35716666666667,13.008566666666667,7.285233333333334,9.833,1.1159333333333334,72.58333333333333,100.91399999999999,100.22243333333334,0.6915666666666667,0.39796666666666664,15.774066666666664,1.4437333333333333,47.52493333333334
19,Win,23,3,1.8,96.2,16.6,16.2,9.2,4.4,22.8,80.0,0.41022,60.2,0.44942000000000004,19.8,0.28992,30.2,0.8187,10.6,34.8,51.75656,0.5146,0.44611999999999996,24.67006,77.42702,14.79498,9.5193,7.35104,1.20154,64.175,99.8743,100.28585999999999,-0.41156000000000004,0.38273999999999997,13.07836,1.04298,57.55553999999999,2.0,89.0,20.0,16.75,5.75,7.25,18.25,82.0,0.38717499999999994,57.75,0.427725,24.25,0.30624999999999997,27.25,0.643125,10.5,31.0,46.23932500000001,0.47587499999999994,0.4328,24.999775,75.000225,15.303124999999998,5.915875,12.9725,1.099,58.15625,91.9221,109.09787499999999,-17.175775,0.358975,15.286100000000001,1.222575,35.4102
4,Win,1,3,1.6666666666666667,96.66666666666667,22.0,12.0,11.333333333333334,4.0,23.0,88.0,0.41240000000000004,66.66666666666667,0.43343333333333334,21.333333333333332,0.34296666666666664,20.666666666666668,0.8132,10.666666666666666,32.333333333333336,46.52343333333334,0.4979333333333334,0.4542333333333333,22.907766666666664,71.78676666666667,10.942133333333333,11.6348,6.003266666666666,1.0990666666666666,71.66666666666667,100.47703333333334,99.91486666666667,0.5621666666666668,0.40779999999999994,16.783199999999997,2.074866666666667,90.95696666666667,1.5,105.0,24.75,16.75,13.0,5.0,23.75,91.25,0.4115,64.0,0.45744999999999997,27.25,0.30235,26.25,0.82795,12.0,32.25,47.326425,0.51155,0.4567,26.6672,73.3328,14.025475,12.36825,7.8172999999999995,1.1584249999999998,77.03125,100.563175,95.98745,4.575725,0.39054999999999995,17.139049999999997,1.4751750000000001,77.3897
20,Loss,26,3,0.6666666666666666,95.66666666666667,20.333333333333332,14.0,7.666666666666667,3.6666666666666665,22.333333333333332,86.66666666666667,0.4236,60.333333333333336,0.46480000000000005,26.333333333333332,0.3293333333333333,19.333333333333332,0.7203333333333334,6.666666666666667,31.333333333333332,43.470666666666666,0.5033,0.4732,14.961266666666667,74.90456666666667,12.7537,7.725766666666666,6.136166666666667,1.1057,60.083333333333336,96.56736666666666,110.9405,-14.373133333333335,0.3906666666666667,15.714966666666669,1.5275333333333334,56.44603333333333,1.0,102.6,27.8,15.4,11.8,5.6,18.6,83.8,0.47014000000000006,56.6,0.5206200000000001,27.2,0.36419999999999997,16.6,0.8443000000000002,7.0,30.0,43.81256,0.56318,0.52932,18.67614,81.32386,14.48168,12.15578,10.02934,1.2254400000000003,83.525,105.37636,103.28345999999999,2.0928999999999993,0.42682000000000003,20.546460000000003,1.8062799999999999,76.62746
29,Win,5,3,1.5,84.75,20.0,16.0,7.25,4.0,19.0,80.25,0.432975,65.5,0.47030000000000005,14.75,0.278675,16.25,0.6896749999999999,10.25,32.25,49.677499999999995,0.484575,0.457975,23.40265,77.037625,15.398399999999999,7.84965,6.2357,1.055725,58.65625,92.25997500000001,108.1223,-15.862325,0.405225,16.170775000000003,1.2866250000000001,43.369875,1.25,101.5,21.5,16.5,10.5,6.25,20.25,86.5,0.412175,56.25,0.48855000000000004,30.25,0.26995,31.25,0.691225,12.5,31.25,48.092425,0.5050749999999999,0.45952499999999996,28.125549999999997,71.87445,14.085875000000001,10.361775000000002,11.03935,1.1718250000000001,72.46875,100.170375,107.931125,-7.760749999999999,0.39364999999999994,15.4463,1.3377249999999998,71.029425
12,Loss,3,3,1.6666666666666667,96.33333333333333,22.0,14.666666666666666,6.0,6.666666666666667,22.666666666666668,74.33333333333333,0.45763333333333334,55.666666666666664,0.5125333333333334,18.666666666666668,0.2896,26.333333333333332,0.8629666666666665,9.333333333333334,27.333333333333332,47.0953,0.5615333333333333,0.49643333333333334,25.064933333333332,66.4806,14.672833333333335,6.629833333333334,12.487566666666666,1.2980333333333334,69.20833333333333,106.37753333333335,108.34833333333334,-1.9707999999999997,0.42700000000000005,17.960233333333335,1.5436666666666667,42.06346666666667,2.3333333333333335,90.0,17.0,14.666666666666666,5.333333333333333,5.666666666666667,20.333333333333332,81.33333333333333,0.4045666666666667,60.0,0.4514,21.333333333333332,0.2728,28.666666666666668,0.6942666666666666,12.0,35.666666666666664,52.26253333333333,0.48386666666666667,0.44003333333333333,24.933000000000003,75.06700000000001,13.5445,5.596066666666666,9.773933333333334,1.1301333333333334,60.166666666666664,95.01619999999998,103.97923333333334,-8.963033333333334,0.3871,13.584533333333335,1.1587333333333334,36.19046666666667
17,Loss,6,3,1.5,105.25,17.25,15.0,8.75,3.5,16.5,87.75,0.46140000000000003,62.75,0.49787499999999996,25.0,0.364975,24.75,0.63775,14.75,33.5,53.4055,0.5340499999999999,0.5137,30.2499,77.90367499999999,13.284275000000001,9.001524999999999,5.5920250000000005,1.2058,76.28125,108.438175,102.53267499999998,5.905499999999999,0.457825,13.079775,1.24965,68.194425,2.0,102.6,24.0,16.8,9.4,3.8,19.2,87.8,0.4356999999999999,66.2,0.47052000000000005,21.6,0.32566000000000006,26.8,0.6983199999999999,12.4,31.8,49.061699999999995,0.51198,0.476,27.813200000000005,72.18679999999999,14.524020000000002,9.348279999999999,5.48644,1.1641,73.75,101.00555999999997,107.26807999999998,-6.2625199999999985,0.41574,17.016379999999998,1.46046,57.37480000000001
7,Win,16,3,1.4,100.0,24.0,16.8,8.6,6.4,17.2,84.6,0.47935999999999995,66.2,0.5322,18.4,0.29666,17.2,0.77988,8.4,37.0,51.4941,0.5428000000000001,0.5113800000000001,21.38224,76.28168,15.380620000000002,8.74258,9.50836,1.18298,79.85,102.3549,96.66652,5.68838,0.43648,17.963900000000002,1.48346,54.0064,1.25,105.0,23.75,15.0,5.5,3.5,20.5,82.5,0.49072499999999997,53.25,0.5544749999999999,29.25,0.375425,20.0,0.6738000000000001,9.25,36.5,52.047974999999994,0.57535,0.556825,20.318525,79.681475,14.0779,5.6647,6.632950000000001,1.27225,79.75,109.85762500000001,107.23055,2.6270750000000005,0.45965,18.2201,1.83725,39.288925000000006
15,Loss,14,3,1.4,98.6,20.4,12.8,8.8,4.4,26.4,83.6,0.44841999999999993,66.4,0.45776000000000006,17.2,0.40359999999999996,21.8,0.74814,11.4,31.8,52.37149999999999,0.52906,0.491,27.34766,77.59866,12.026739999999998,9.57912,6.509780000000001,1.18138,70.575,107.88510000000001,96.35636000000001,11.528739999999999,0.43996,15.970859999999998,1.69466,71.61988,1.6,100.4,20.2,14.0,8.2,7.2,18.8,82.4,0.45952000000000004,60.4,0.49632,22.0,0.3675400000000001,22.0,0.7725000000000001,10.8,35.8,53.75732000000001,0.54724,0.50778,22.664700000000003,77.3353,13.16286,8.67102,12.03462,1.22418,80.2,106.86525999999999,94.58887999999999,12.27638,0.44189999999999996,15.9869,1.5213,59.09740000000001
8,Win,25,3,1.75,112.25,25.25,14.75,11.0,4.5,23.25,86.0,0.47575,55.5,0.532825,30.5,0.38135,26.25,0.7492500000000001,9.0,32.75,47.61175,0.5766,0.5423500000000001,20.456025,72.11025,13.149125,10.99905,8.45445,1.3131,85.84375,111.63265,96.8724,14.76025,0.444725,18.339475,2.076625,84.224025,2.3333333333333335,93.33333333333333,21.0,17.666666666666668,7.666666666666667,4.666666666666667,23.333333333333332,81.33333333333333,0.4111,66.66666666666667,0.42283333333333334,14.666666666666666,0.34593333333333337,26.666666666666668,0.8050333333333334,9.333333333333334,35.0,52.27526666666666,0.5021333333333333,0.44406666666666667,21.024266666666666,78.97573333333332,15.961666666666666,7.7702,6.945733333333334,1.1514,61.916666666666664,94.65643333333333,103.51363333333332,-8.8572,0.37209999999999993,15.873666666666665,1.2010333333333334,45.89646666666667
18,Loss,24,3,1.3333333333333333,109.0,21.666666666666668,12.666666666666666,6.0,5.0,23.0,84.66666666666667,0.4812666666666667,62.0,0.5147333333333333,22.666666666666668,0.37460000000000004,28.666666666666668,0.6601666666666667,9.666666666666666,31.666666666666668,47.9289,0.5609000000000001,0.5322,21.24663333333333,76.75926666666668,11.5336,6.0202333333333335,8.068166666666666,1.2901999999999998,76.66666666666667,110.4076,113.02806666666667,-2.6204666666666667,0.4634,16.44483333333333,1.7598333333333336,46.4957,1.5,103.75,18.25,18.5,9.5,4.25,21.75,86.25,0.44525000000000003,62.5,0.476075,23.75,0.35355,27.5,0.662525,11.0,37.75,53.510999999999996,0.5293,0.49455000000000005,22.598125,77.401875,15.835700000000001,9.2904,6.759124999999999,1.20975,70.6875,101.662325,98.12247500000001,3.5398500000000004,0.40797500000000003,13.429575,0.977075,50.416675
25,Loss,4,3,1.5,106.5,23.75,15.0,7.0,5.5,22.75,82.5,0.4654,67.0,0.497625,15.5,0.33399999999999996,31.75,0.772625,8.75,37.75,51.434625000000004,0.55565,0.496525,20.772824999999997,77.57669999999999,13.490675,6.905425,8.197875,1.3031000000000001,79.65625,105.26837499999999,96.0727,9.195675000000001,0.43015000000000003,17.5101,1.7886,45.58845,1.4,93.2,19.4,17.6,8.2,4.2,18.4,79.2,0.43011999999999995,57.2,0.45797999999999994,22.0,0.35128,24.0,0.71774,10.6,31.4,48.4161,0.51988,0.48056,24.3485,75.6515,16.49084,8.62602,7.6792,1.1779600000000001,63.95,98.64269999999999,101.25986,-2.61716,0.39493999999999996,15.1692,1.19826,47.952380000000005
15,Loss,28,3,1.8,99.4,20.0,12.4,10.0,5.2,26.0,86.4,0.43148,68.2,0.43634000000000006,18.2,0.41731999999999997,22.6,0.75728,12.8,31.2,52.42698,0.51678,0.47590000000000005,29.696379999999998,77.30562,11.351159999999998,10.814039999999999,7.42248,1.15388,72.125,107.97996,95.56172,12.418239999999999,0.43290000000000006,15.387799999999999,1.70466,84.95322,1.5,104.0,22.25,13.75,7.5,6.0,24.25,95.75,0.4105,67.75,0.4371,28.0,0.34504999999999997,21.0,0.7239,15.0,34.75,50.191625,0.494425,0.46175000000000005,29.130274999999997,70.869725,11.52195,7.407375,8.76365,1.08945,75.25,103.72687499999999,102.65292500000001,1.07395,0.41612499999999997,15.896199999999999,1.7703,57.5187
26,Loss,1,3,2.0,106.25,25.75,14.5,10.0,4.25,17.25,84.5,0.467525,60.75,0.514275,23.75,0.355,24.25,0.812675,9.5,35.25,50.901225,0.55965,0.51685,21.866975,76.549825,13.186399999999999,10.181525,7.2782,1.269475,86.59375,108.143575,101.867675,6.2759,0.4388500000000001,18.990475,1.796875,69.933725,1.4,102.2,23.4,17.0,12.4,4.6,24.2,88.4,0.41231999999999996,61.8,0.47162,26.6,0.27522,27.4,0.80612,11.2,31.4,47.21178,0.50916,0.45367999999999997,25.778200000000005,74.2218,14.52072,11.92734,7.3859200000000005,1.1630999999999998,71.675,98.94856,97.524,1.4245600000000003,0.38599999999999995,16.544099999999997,1.3801400000000001,73.02288000000001
22,Win,27,3,1.3333333333333333,102.66666666666667,27.666666666666668,15.333333333333334,5.666666666666667,6.0,21.666666666666668,86.33333333333333,0.47029999999999994,59.666666666666664,0.5105333333333334,26.666666666666668,0.3740666666666666,18.0,0.6617666666666667,10.0,39.0,54.247733333333336,0.5477666666666666,0.5285000000000001,23.6123,81.34263333333332,14.033366666666668,5.817033333333334,9.8866,1.1978333333333333,83.58333333333333,105.2244,93.04443333333334,12.179966666666665,0.44049999999999995,20.164533333333335,1.8799666666666666,37.84886666666667,1.75,94.0,20.0,14.5,6.5,4.25,19.75,86.75,0.392125,63.5,0.44957500000000006,23.25,0.25365,24.75,0.82,14.25,33.75,52.887950000000004,0.481475,0.42535,29.954024999999998,70.045975,12.7395,6.8033,6.9353,1.08605,65.59375,99.170175,105.523175,-6.353,0.39094999999999996,15.1457,1.563875,49.960325
20,Loss,19,3,0.75,96.25,20.5,15.25,7.25,2.75,22.0,85.75,0.42915,58.75,0.455075,27.0,0.3677,18.25,0.706925,7.0,31.5,44.50775,0.5142,0.487425,15.7664,76.178425,13.939125,7.3325,4.602125,1.12445,59.96875,97.54912499999999,110.379875,-12.830750000000002,0.3914,15.837150000000001,1.421975,50.22925,1.3333333333333333,107.0,22.0,15.666666666666666,9.0,3.6666666666666665,20.0,84.66666666666667,0.44869999999999993,64.66666666666667,0.4739,20.0,0.35473333333333334,32.666666666666664,0.7124,13.666666666666666,34.666666666666664,55.49053333333333,0.5402333333333333,0.4916,28.56726666666667,71.43273333333333,13.5961,9.461266666666667,5.5988,1.2668,79.91666666666667,111.1964,102.55430000000001,8.6421,0.4397333333333333,16.089299999999998,1.5198333333333334,60.71426666666667
21,Loss,13,3,1.8,98.8,18.2,14.2,6.8,3.6,19.8,82.4,0.44988,57.2,0.51442,25.2,0.2991400000000001,23.4,0.74744,8.4,34.0,48.67466,0.5335799999999999,0.49585999999999997,17.99826,83.58851999999999,13.24016,7.007479999999999,6.260859999999999,1.2043399999999997,66.625,102.2533,104.53808,-2.28478,0.41928,14.47514,1.35602,49.76768,1.5,96.5,19.0,13.25,5.75,7.75,20.25,89.25,0.40095000000000003,65.0,0.42522499999999996,24.25,0.33777500000000005,22.25,0.766125,9.75,38.0,49.655125000000005,0.48752500000000004,0.445575,20.42555,79.57444999999998,11.624075,5.744025000000001,11.955875,1.082,68.59375,97.927775,96.592625,1.33515,0.388625,14.41955,1.7298,44.91565
16,Loss,9,3,1.75,102.5,16.5,17.0,6.25,5.25,26.75,85.75,0.446025,58.75,0.485475,27.0,0.36495,24.5,0.7057749999999999,11.25,32.5,49.016724999999994,0.531925,0.503325,25.135824999999997,75.552675,14.9442,6.231075000000001,9.133550000000001,1.201575,62.25,103.45625,103.19115,0.2651000000000001,0.41817499999999996,12.61145,1.11075,39.17405,1.3333333333333333,87.0,18.666666666666668,15.333333333333334,9.333333333333334,3.3333333333333335,21.0,77.33333333333333,0.3738666666666666,59.333333333333336,0.4098333333333333,18.0,0.23876666666666665,28.666666666666668,0.8337,10.666666666666666,30.333333333333332,48.403933333333335,0.48360000000000003,0.4038333333333333,26.0269,73.9731,14.4657,9.892533333333333,5.715066666666666,1.1297666666666666,57.166666666666664,93.50423333333333,105.74946666666666,-12.245233333333333,0.3551666666666667,14.986366666666667,1.5135666666666667,61.111133333333335
